fold,model,subset_accuracy,number_level_accuracy,avg_hit,precision_at_6,recall_at_6,brier_score
0,freq_heuristic,0.0,0.7614814814814815,0.6333333333333333,0.10555555555555556,0.10555555555555556,
0,gap_heuristic,0.0,0.7807407407407407,1.0666666666666667,0.17777777777777778,0.17777777777777778,
0,random_baseline,0.0,0.7718518518518519,0.8666666666666667,0.14444444444444446,0.14444444444444446,
0,logistic_regression,0.0,0.7644444444444445,0.7,0.11666666666666665,0.11666666666666665,0.3280960895884904
0,soft_voting_ensemble,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,0.19843451356059355
1,freq_heuristic,0.0,0.7585185185185185,0.5666666666666667,0.09444444444444444,0.09444444444444444,
1,gap_heuristic,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,
1,random_baseline,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,
1,logistic_regression,0.0,0.7585185185185185,0.5666666666666667,0.09444444444444444,0.09444444444444444,0.3242752760830512
1,soft_voting_ensemble,0.0,0.7733333333333333,0.9,0.15,0.15,0.19192542607233493
2,freq_heuristic,0.0,0.7703703703703704,0.8333333333333334,0.1388888888888889,0.1388888888888889,
2,gap_heuristic,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,
2,random_baseline,0.0,0.7733333333333333,0.9,0.15,0.15,
2,logistic_regression,0.0,0.7659259259259259,0.7333333333333333,0.12222222222222222,0.12222222222222222,0.3424520012172209
2,soft_voting_ensemble,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,0.19717817170563048
3,freq_heuristic,0.0,0.7688888888888888,0.8,0.13333333333333333,0.13333333333333333,
3,gap_heuristic,0.0,0.7748148148148148,0.9333333333333333,0.15555555555555556,0.15555555555555556,
3,random_baseline,0.0,0.7733333333333333,0.9,0.15,0.15,
3,logistic_regression,0.0,0.7674074074074074,0.7666666666666667,0.1277777777777778,0.1277777777777778,0.33457997909585474
