model,draw_index,predicted_numbers,actual_numbers,hit_count,exact_match
freq_heuristic,0,"1,2,6,21,36,37","5,7,13,20,21,44",1,0
freq_heuristic,1,"2,6,7,21,37,39","13,23,26,31,35,43",0,0
freq_heuristic,2,"2,6,13,21,37,39","3,10,23,35,36,37",1,0
freq_heuristic,3,"1,2,13,21,36,37","17,21,23,30,34,44",1,0
freq_heuristic,4,"16,21,23,35,37,44","7,10,16,28,41,42",1,0
freq_heuristic,5,"3,7,16,21,23,37","2,4,15,23,29,38",1,0
freq_heuristic,6,"2,7,16,21,23,37","2,13,20,30,31,41",1,0
freq_heuristic,7,"2,7,16,21,23,37","17,18,21,27,29,33",1,0
freq_heuristic,8,"2,16,17,21,23,37","2,4,25,26,36,37",2,0
freq_heuristic,9,"2,7,17,21,23,37","13,18,25,31,33,44",0,0
freq_heuristic,10,"2,7,13,23,37,44","12,20,26,33,44,45",1,0
freq_heuristic,11,"2,7,13,23,37,44","6,14,16,18,24,42",0,0
freq_heuristic,12,"2,7,13,16,23,44","1,3,8,24,27,35",0,0
freq_heuristic,13,"7,13,21,23,35,44","1,4,13,29,38,39",1,0
freq_heuristic,14,"2,13,23,35,37,44","6,11,15,24,32,39",0,0
freq_heuristic,15,"13,21,23,33,35,44","4,7,14,16,24,44",1,0
freq_heuristic,16,"7,13,16,23,24,44","13,17,18,20,42,45",1,0
freq_heuristic,17,"13,16,21,23,24,44","1,3,9,14,18,28",0,0
freq_heuristic,18,"13,18,20,23,24,44","2,8,19,22,32,42",0,0
freq_heuristic,19,"13,18,23,24,42,44","6,10,12,14,20,42",1,0
freq_heuristic,20,"13,18,20,24,42,44","17,25,33,35,38,45",0,0
freq_heuristic,21,"13,18,20,33,42,44","1,4,29,39,43,45",0,0
freq_heuristic,22,"4,18,20,42,44,45","7,15,30,37,39,44",1,0
freq_heuristic,23,"4,18,20,42,44,45","8,13,18,24,27,29",1,0
freq_heuristic,24,"4,13,18,24,29,42","8,11,15,16,17,37",0,0
freq_heuristic,25,"4,13,18,20,24,29","8,11,16,19,21,25",0,0
freq_heuristic,26,"8,13,18,24,25,45","9,11,30,31,41,44",0,0
freq_heuristic,27,"8,18,24,25,44,45","15,23,29,34,40,44",1,0
freq_heuristic,28,"8,18,24,25,44,45","9,12,15,25,34,36",1,0
freq_heuristic,29,"8,15,18,24,25,44","1,9,12,26,35,38",0,0
freq_heuristic,30,"1,8,9,15,24,44","5,11,18,20,35,45",0,0
freq_heuristic,31,"1,8,11,15,18,24","21,22,26,34,36,41",0,0
freq_heuristic,32,"1,8,9,11,15,45","3,11,14,18,26,27",1,0
freq_heuristic,33,"1,11,15,18,44,45","14,23,31,33,37,40",0,0
freq_heuristic,34,"11,14,15,18,44,45","15,26,28,34,41,42",1,0
freq_heuristic,35,"11,14,15,18,44,45","12,18,22,23,30,34",1,0
freq_heuristic,36,"9,11,15,18,34,42","3,19,21,25,37,45",0,0
freq_heuristic,37,"9,11,15,18,34,37","1,4,13,17,34,39",1,0
freq_heuristic,38,"11,15,25,34,37,45","12,27,29,38,41,45",1,0
freq_heuristic,39,"11,12,15,29,34,45","12,15,17,24,29,45",4,0
freq_heuristic,40,"11,12,15,29,34,45","5,6,11,29,42,45",3,0
freq_heuristic,41,"11,12,15,29,34,45","10,14,16,18,29,35",1,0
freq_heuristic,42,"11,15,18,29,34,45","9,18,20,22,38,44",1,0
freq_heuristic,43,"11,15,18,29,34,45","8,9,20,25,29,33",1,0
freq_heuristic,44,"11,15,18,29,34,45","5,12,13,31,32,41",0,0
freq_heuristic,45,"12,18,29,34,41,45","14,16,27,35,39,45",1,0
freq_heuristic,46,"12,18,29,34,41,45","5,7,12,13,18,35",2,0
freq_heuristic,47,"12,18,29,34,35,45","12,30,32,37,39,41",1,0
